set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
28 2.73 0.27 1.69 1.14 2.9 3.48 0.48 2.45 0 1.37 5.83 2.45 0 2.19 1.52 1.99 0 2.83 1.64 1.02 1.51 0 0.17 1.09 4.81 0 2.03 2.16 0.0 2.26 2.59 0.76 0 2.23 0.63 1.79 0 0.77 1.25 2.11 1.19 0.99 1.02 1.49 6.72 
29 0 0 0.55 1.6 2.65 1.54 3.48 0.72 0 1.51 2.54 0 2.92 0 0 0 0 0.65 1.68 2.23 0.39 0 1.11 3.95 0.83 3.14 3.39 2.63 2.26 0.0 1.98 0 0.78 0.65 0.92 1.41 0 0 0 0.55 2.62 3.51 0.89 3.39 0 
30 1.17 0.53 0 0 0 2.28 5.32 6.84 5.57 0.31 0.85 2.66 0 0 0.8 3.04 1.9 0 5.19 0.78 0.52 0.25 4.31 6.46 0 0 6.46 1.37 2.59 1.98 0.0 0 2.54 0 0.56 3.39 3.95 1.6 0.92 1.13 0.95 0.82 2.46 1.07 2.82 
31 1.13 0 0.9 0.92 2.83 1.52 0 0 0.15 4.94 1.96 1.72 1.45 3.33 2.22 0.89 2.92 2.9 2.53 0 1.36 0.6 0.8 3.04 1.29 0.72 0.39 2.07 0.76 0 0 0.0 0.9 5.55 0.72 2.35 1.02 0.78 3.2 0.97 8.87 3.57 2.39 3.01 2.11 
32 0.39 0.1 0 1.36 0 0.99 0 1.66 1.6 1.79 3.55 0.37 0.25 0 1.6 2.82 0.86 0 0 0 2.07 0 0.68 0.94 0.5 0.53 0 0.13 0 0.78 2.54 0.9 0.0 0 1.02 0 0 0.4 0 4.69 3.14 0 0.65 3.48 1.25 
33 4.31 5.32 4.94 5.08 0 2.53 5.57 5.65 3.33 2.16 1.13 3.93 1.6 1.68 5.83 0.68 2.92 0.38 2.28 2.03 3.02 4.43 1.84 0.92 2.19 2.96 3.76 1.6 2.23 0.65 0 5.55 0 0.0 0.45 0 7.73 2.28 0.42 0.8 5.19 4.56 3.17 0 0.27 
34 1.21 2.82 0.78 1.97 2.53 0.82 1.64 0 3.86 0.35 0.59 1.88 1.85 0 3.02 2.82 1.13 0.58 0.73 0 1.54 0.85 2.82 3.14 0 3.33 0 3.2 0.63 0.92 0.56 0.72 1.02 0.45 0.0 0.5 0.6 0 0.99 1.69 0 2.07 2.83 3.94 1.37 
35 3.67 0 1.79 0.62 0 0.65 0.73 4.23 2.92 0 1.68 2.73 2.65 0 2.11 6.72 1.48 6.72 0 0 0 1.98 0.78 5.83 6.97 1.0 3.29 1.37 1.79 1.41 3.39 2.35 0 0 0.5 0.0 0.56 3.08 0 6.08 3.13 2.7 0 7.22 0 
36 4.05 2.92 0.4 1.52 0 4.23 0 5.83 1.25 0.62 0 0 0 1.2 3.51 0 1.17 2.27 2.27 0 0.2 0.45 0.94 1.88 3.51 0 1.41 3.67 0 0 3.95 1.02 0 7.73 0.6 0.56 0.0 2.19 3.58 5.08 0 0 0 5.46 0 
37 1.69 2.82 0.52 1.8 0 0 2.54 4.05 1.56 2.07 1.79 0.35 0 1.06 0 0.12 1.06 0 0 0 4.05 0 3.39 0.63 1.49 1.79 4.33 2.45 0.77 0 1.6 0.78 0.4 2.28 0 3.08 2.19 0.0 1.69 1.06 0.52 0 0 0 0.43 
38 0.92 0.7 1.32 0.48 1.6 0 0.43 1.52 0 0.66 1.9 0.1 0.55 0.68 0 0 0.55 1.98 0 2.34 1.54 1.69 0.37 1.41 3.76 0 3.48 0 1.25 0 0.92 3.2 0 0.42 0.99 0 3.58 1.69 0.0 0.94 4.61 0 3.2 4.61 1.54 
39 1.49 0.72 0.58 0.82 5.07 0.4 3.02 0 6.84 2.41 1.27 2.92 0 0.9 2.11 2.16 0.43 0 0.75 1.8 0 3.42 1.76 0 3.88 0 5.74 4.05 2.11 0.55 1.13 0.97 4.69 0.8 1.69 6.08 5.08 1.06 0.94 0.0 0 3.02 4.81 1.2 2.73 
40 2.59 5.27 0 0 0.98 2.59 1.72 3.57 3.76 5.08 0.8 1.96 0 1.17 0 0 0 0 1.13 0.39 2.85 0 5.93 0 1.8 1.97 8.24 0 1.19 2.62 0.95 8.87 3.14 5.19 0 3.13 0 0.52 4.61 0 0.0 0.74 0 0.97 0 
41 1.17 1.72 0.83 0 0.8 1.25 0 0 1.92 2.71 2.53 0.67 0.98 0.15 0 1.6 0 0 1.05 0 1.04 0 0 1.56 0 0.35 2.07 0 0.99 3.51 0.82 3.57 0 4.56 2.07 2.7 0 0 0 3.02 0.74 0.0 0 0 0.33 
42 2.92 0.73 2.96 2.42 0 1.66 3.48 0 3.2 0 1.91 0.62 0.94 0 1.29 0.63 0.72 0.86 0 0 0 0 3.14 1.84 1.68 0 3.57 0 1.02 0.89 2.46 2.39 0.65 3.17 2.83 0 0 0 3.2 4.81 0 0 0.0 0 0 
43 0.57 3.2 0 5.95 0.67 1.88 0 0 1.6 0.94 0 1.68 3.86 1.52 0.9 5.36 4.89 0 0 0 6.59 0 2.28 0.22 0.47 0 2.79 0.48 1.49 3.39 1.07 3.01 3.48 0 3.94 7.22 5.46 0 4.61 1.2 0.97 0 0 0.0 0.92 
44 0 3.48 2.34 6.72 0 0.3 0 4.61 1.84 2.63 1.29 1.72 0.28 1.02 1.25 0.37 0 0 1.36 1.05 1.96 0.68 1.68 2.71 0 0 6.72 1.29 6.72 0 2.82 2.11 1.25 0.27 1.37 0 0 0.43 1.54 2.73 0 0.33 0 0.92 0.0 

;
