set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
28 3.67 0.63 1.11 0.55 4.42 2.28 0.48 1.6 0 0.58 5.83 2.45 0 3.45 2.4 0.85 0 1.8 2.59 0 0.63 0 0 0.47 3.58 0 1.51 2.91 0.0 1.48 1.64 0.56 0.35 2.23 0 0.74 0 0 0.53 2.11 0 0 0 0.63 4.99 
29 0.48 0 0.85 1.05 5.45 2.35 3.48 1.68 0 2.03 2.54 0.28 3.93 0 0 0.63 0 1.52 2.65 0.95 0.17 0 0.7 5.32 1.96 4.8 2.22 3.55 1.48 0.0 1.98 0 1.23 0.65 1.41 0.92 0 0.6 0 0.55 1.12 2.23 0 5.18 0.72 
30 1.17 0.53 0 0 0 2.28 3.95 6.84 4.14 0.31 0.85 2.66 0 0 0 3.04 1.9 0 3.86 0 0 0.25 3.2 6.46 0 0 4.8 1.37 1.64 1.98 0.0 0 2.54 0 0.56 1.41 1.64 1.6 0.92 1.13 0 0 0.67 1.07 2.82 
31 1.79 0.28 0.38 0.25 4.33 0.65 0 0 0 3.67 1.96 1.72 0.62 5.08 3.39 0 1.91 1.84 3.86 0 0.37 0 0.51 2.26 0.55 1.68 0.17 2.79 0.56 0 0 0.0 1.42 5.55 0 0.98 0 0 2.09 0.97 6.59 2.27 1.02 1.97 0.9 
32 0.62 0.23 0 2.07 0.43 1.51 0 2.54 2.15 2.41 3.55 0.56 0.59 0.65 2.45 3.8 1.32 0 0 0.68 2.79 0 1.04 1.48 1.17 1.25 0.4 0.31 0.35 1.23 2.54 1.42 0.0 0 1.6 0 0.55 0.94 0 4.69 4.8 0 1.52 4.69 1.97 
33 4.31 5.32 4.94 2.11 0 2.53 4.14 5.65 3.33 2.16 1.13 3.93 1.6 1.68 4.33 0.68 2.92 0.38 1.45 2.03 0.82 4.43 1.84 0.92 2.19 1.88 3.76 1.6 2.23 0.65 0 5.55 0 0.0 0.45 0 3.76 2.28 0.42 0.8 5.19 4.56 3.17 0 0.27 
34 1.91 3.8 1.23 1.25 5.19 1.29 1.64 0.89 2.53 0.55 0.59 2.53 2.82 0 4.61 3.8 1.52 1.37 1.72 0 0.98 1.14 1.85 4.8 0 5.08 0 4.31 0 1.41 0.56 0 1.6 0.45 0.0 0 0 0.52 1.51 1.69 0 0.89 1.8 6.02 2.16 
35 4.94 0.45 1.17 0.17 0 0 0.73 1.76 1.21 0 0 3.67 0.72 0 3.33 3.26 0.94 3.26 0.9 0 0 1.29 0 2.83 3.39 2.35 1.37 2.16 0.74 0.92 1.41 0.98 0 0 0 0.0 0.23 0.83 0 2.96 3.13 2.7 0 3.51 0 
36 5.45 3.93 0 0.74 0 1.76 0 2.83 0 0 0 0.58 0 1.2 5.36 0 0.5 0 3.57 0 0 0 0 0 0.95 1.07 0 4.94 0 0 1.64 0 0.55 3.76 0 0.23 0.0 0 2.34 2.11 0 0 0 2.27 0 
37 2.28 3.8 1.21 0 0 0 2.54 4.05 0.67 2.79 1.79 0.82 0 1.06 0 0.12 1.66 0 0 0 1.68 0.6 2.22 0.63 1.49 2.73 2.83 3.29 0 0.6 1.6 0 0.94 2.28 0.52 0.83 0 0.0 2.28 1.06 0.52 0 0 0 0.43 
38 1.41 1.11 1.77 0 3.29 0 0.43 2.4 0 0.89 1.9 0.23 0.86 0.68 0 0 0.85 2.66 0.47 1.49 0.98 2.28 0 2.22 5.07 0.63 2.28 0 0.53 0 0.92 2.09 0 0.42 1.51 0 2.34 2.28 0.0 0.94 3.02 0 2.09 6.21 2.35 
39 1.49 0.72 0.58 0 5.07 0.4 1.92 0 6.84 2.41 1.27 2.92 0 0.9 0.9 2.16 0.43 0 0 1.8 0 3.42 1.76 0 3.88 0 5.74 4.05 2.11 0.55 1.13 0.97 4.69 0.8 1.69 2.96 2.11 1.06 0.94 0.0 0 3.02 4.81 1.2 2.73 
40 3.95 7.1 0 0 0.98 2.59 1.72 3.57 2.39 3.33 0.8 3.08 0 1.17 0 0 0 0 1.79 0.39 2.85 0 3.88 0 1.8 3.01 6.12 0 0 1.12 0 6.59 4.8 5.19 0 3.13 0 0.52 3.02 0 0.0 0.74 0 0.97 0 
41 1.85 2.71 0 0 0.8 1.25 0 0 0.82 1.72 2.53 1.56 0.98 0.15 0.42 1.6 0 0 1.6 0 1.04 0 0 1.56 0 0.82 0.89 0.6 0 2.23 0 2.27 0 4.56 0.89 2.7 0 0 0 3.02 0.74 0.0 0 0 0.33 
42 3.93 1.72 1.88 2.42 0 1.66 3.48 0 2.03 0 1.91 1.45 0.94 0 2.03 0.63 0 0.86 0 0 0 0 1.99 1.84 1.68 0 2.27 0.65 0 0 0.67 1.02 1.52 3.17 1.8 0 0 0 2.09 4.81 0 0 0.0 0 0 
43 1.33 4.31 0.77 2.9 1.56 1.88 0 0 1.02 2.19 0 2.65 3.86 1.52 1.42 5.36 6.59 0 0 0 3.2 0 1.45 0.22 0.47 0 2.07 1.13 0.63 5.18 1.07 1.97 4.69 0 6.02 3.51 2.27 0 6.21 1.2 0.97 0 0 0.0 0.92 
44 0.42 4.69 3.58 3.26 0 0.3 0 4.61 0.78 3.55 1.29 2.63 0.28 1.02 1.97 0.37 0.57 0 2.07 1.05 0 1.6 0.72 2.71 0 0.53 4.99 2.03 4.99 0.72 2.82 0.9 1.97 0.27 2.16 0 0 0.43 2.35 2.73 0 0.33 0 0.92 0.0 

;
